Horsepower(/100),GallonsPer100Miles
1.3,5.6
1.65,6.7
1.5,5.6
1.5,6.3
1.4,5.9
1.98,6.7
2.2,7.1
2.15,7.1
2.25,7.1
1.9,6.7
1.7,6.7
1.6,7.1
1.5,6.7
2.25,7.1
0.95,4.2
0.95,4.5
0.97,5.6
0.85,4.8
0.88,3.7
0.46,3.8
0.87,4
0.9,4.2
0.95,4
1.13,3.8
0.9,4.8
2.15,10
2,10
2.1,9.1
1.93,11.1
0.88,3.7
0.9,3.6
0.95,4
1,5.3
1.05,6.3
1,5.9
0.88,5.3
1,5.6
1.65,7.1
1.75,7.1
1.53,7.1
1.5,7.1
1.8,8.3
1.7,7.7
1.75,7.7
1.1,5.6
0.72,4.5
1,5.3
0.88,5.6
0.86,4.3
0.9,3.6
0.7,3.3
0.76,3.3
0.65,3.2
0.69,2.9
0.6,3.7
0.7,3.8
0.95,4.2
0.8,4
0.54,4.3
0.9,5
0.86,4.8
1.65,7.7
1.75,7.1
1.5,6.7
1.53,7.1
1.5,5.9
2.08,9.1
1.55,7.7
1.6,8.3
1.9,7.7
0.97,5.3
1.5,6.7
1.3,7.7
1.4,7.7
1.5,7.1
1.12,5.6
0.76,4.5
0.87,4.8
0.69,3.8
0.86,4.5
0.92,3.6
0.97,4.3
0.8,3.6
0.88,3.7
1.75,7.7
1.5,7.1
1.45,7.7
1.37,7.1
1.5,6.7
1.98,8.3
1.5,7.7
1.58,7.7
1.5,7.1
2.15,7.7
2.25,8.3
1.75,7.7
1.05,5.6
1,6.3
1,5.6
0.88,5.6
0.95,4.3
0.46,3.8
1.5,9.1
1.67,8.3
1.7,7.7
1.8,8.3
1,5.6
0.88,5
0.72,4.8
0.94,4.5
0.9,5.6
0.85,5.3
1.07,4.8
0.9,3.8
1.45,6.7
2.3,6.3
0.49,3.4
0.75,4.2
0.91,5
1.12,5.3
1.5,6.7
1.1,4.2
1.22,5
1.8,9.1
0.95,5
1,5.3
1,6.7
0.67,3.2
0.8,3.8
0.65,3.1
0.75,4
1,6.3
1.1,6.3
1.05,5.6
1.4,6.3
1.5,7.7
1.5,7.1
1.4,7.1
1.5,7.1
0.83,3.4
0.67,3.8
0.78,3.8
0.52,3.2
0.61,3.1
0.75,3.6
0.75,4.2
0.75,3.8
0.97,4.2
0.93,3.8
0.67,3.2
0.95,5.3
1.05,5.6
0.72,6.7
0.72,6.7
1.7,6.3
1.45,6.7
1.5,6.3
1.48,7.1
1.1,5.9
1.05,6.3
1.1,6.7
0.95,5.6
1.1,4.8
1.1,5
1.29,7.7
0.75,3.4
0.83,4.3
1,5
0.78,4.3
0.96,4.2
0.71,4
0.97,4.2
0.97,5.6
0.7,3.4
0.9,5.3
0.95,4.3
0.88,4.3
0.98,4.5
1.15,4
0.53,3
0.86,3.6
0.81,4
0.92,4
0.79,3.8
0.83,3.7
1.4,5.7
1.5,6.3
1.2,6.5
1.52,6.9
1,4.5
1.05,4.5
0.81,4.2
0.9,4.4
0.52,3.4
0.6,4.1
0.7,3.4
0.53,3
1,5
0.78,5.6
1.1,5.4
0.95,5.7
0.71,3.4
0.7,3.1
0.75,3.6
0.72,3.8
1.02,5
1.5,7.7
0.88,5.3
1.08,5.3
1.2,6.1
1.8,6.1
1.45,7.7
1.3,7.7
1.5,7.7
0.68,3.2
0.8,3.3
0.58,2.8
0.96,3.9
0.7,3
1.45,5.7
1.1,5.9
1.45,6.5
1.3,6.7
1.1,5.7
1.05,4.9
1,5.3
0.98,5.4
1.8,6.3
1.7,6.5
1.9,6.5
1.49,6.3
0.78,3.4
0.88,4.1
0.75,3.8
